"0","Reflect onto prepare those admit","202.37","If guess owner on buy skin various set four free behind condition themselves couple language clearly push control something area figure","true","Electronics","Cameras","Point-and-Shoot","https://picsum.photos/200/200/?random=0"
"1","Past occur for always","165.14","Would lose stock support officer everybody off special drop even program run ability picture","false","Electronics","Smart Home","Smart Speakers","https://picsum.photos/200/200/?random=1"
"2","Avoid population","235.63","Behind student civil near to where rock spring control suffer letter at term spend agree his performance watch sign than on bar occur surface keep role","true","Electronics","Smartphones","OnePlus","https://picsum.photos/200/200/?random=2"
"3","Garden he market voice","30.24","Thank concern action individual carry pick room cause water range idea buy movement represent others","true","Electronics","Smartphones","Google Pixel","https://picsum.photos/200/200/?random=3"
"4","Half firm fish","301.06","Myself big capital product open station check condition maintain strategy career various ready really girl sure fund environment including position fish admit price live family","true","Home and Garden","Furniture","Sofas","https://picsum.photos/200/200/?random=4"
"5","Should rest take little","51.47","Thank possible dream cover since various computer effort between collection talk officer tend include increase discuss no stock","true","Electronics","Smartwatches","Fitbit","https://picsum.photos/200/200/?random=5"
"6","Try indeed send","177.51","Huge allow example model town few majority past camera almost relationship hour able discuss beyond hit every single address explain never audience research operation","true","Fashion and Apparel","Clothing","Dresses","https://picsum.photos/200/200/?random=6"
"7","Sit base though","237.08","Man candidate government themselves term week possible theory let pattern part which","true","Books and Media","Books","Fiction","https://picsum.photos/200/200/?random=7"
"8","Mission suggest site","309.38","Question religious herself bill impact ask floor final close campaign agreement pick position white bed TV direction job television off sure skill poor","false","Health and Beauty","Skincare","Sunscreen","https://picsum.photos/200/200/?random=8"
"9","Scientist any turn blue","86.60","Significant energy reduce find beat lay plan face clearly than suffer point style call charge recognize home create main traditional person administration","false","Electronics","Smart Home","Smart Security Cameras","https://picsum.photos/200/200/?random=9"
"10","Effect force research","414.69","Become government society at get sort maybe quite image bed pressure memory pay already agree until thousand member in best street six price sort manager strong","true","Electronics","Smartphones","Samsung Galaxy","https://picsum.photos/200/200/?random=10"
"11","Carry especially just control local","138.34","Whom pick very southern thus he behind certainly policy smile kid society quickly daughter country cut environment edge name down of perform","true","Books and Media","Books","Fiction","https://picsum.photos/200/200/?random=11"
"12","Away war word if","239.04","Key develop suddenly music resource position do if suddenly drop use source","false","Home and Garden","Appliances","Coffee Makers","https://picsum.photos/200/200/?random=12"
